Depth,Nodes,Time,Date
1,21836,1585,2024-01-13 11:46:00.0
2,49424,3341,2024-01-13 11:46:00.0
3,463722,20737,2024-01-13 11:46:00.0
4,1293762,74614,2024-01-13 11:46:00.0
5,11588435,552208,2024-01-13 11:46:00.0
6,43730050,2305392,2024-01-13 11:46:00.0
7,348305420,16382295,2024-01-13 11:46:00.0
8,2365832491,112157292,2024-01-13 11:46:00.0
1,22511,1640,2024-01-17 04:46:00.0
2,52364,4203,2024-01-17 04:46:00.0
3,466235,26549,2024-01-17 04:46:00.0
4,1115725,81253,2024-01-17 04:46:00.0
5,7632996,449479,2024-01-17 04:46:00.0
6,19221151,1375247,2024-01-17 04:46:00.0
7,106345533,6614143,2024-01-17 04:46:00.0
8,277272640,21730334,2024-01-17 04:46:00.0
1,22511,1425,2024-01-17 04:39:00.0
2,52371,3835,2024-01-17 04:39:00.0
3,471013,25140,2024-01-17 04:39:00.0
4,1146750,77389,2024-01-17 04:39:00.0
5,8210894,447522,2024-01-17 04:39:00.0
6,25294584,1637510,2024-01-17 04:39:00.0
7,179154930,10058720,2024-01-17 04:39:00.0
8,960444836,60418168,2024-01-17 04:39:00.0
1,22613,1478,2024-01-17 03:27:00.0
2,52572,3993,2024-01-17 03:27:00.0
3,488631,26608,2024-01-17 03:27:00.0
4,1419230,97154,2024-01-17 03:27:00.0
5,12381568,685097,2024-01-17 03:27:00.0
6,46548080,2931202,2024-01-17 03:27:00.0
7,360772045,19691063,2024-01-17 03:27:00.0
8,2271077028,128034251,2024-01-17 03:27:00.0
1,22613,1295,2024-01-15 08:02:00.0
2,52572,3319,2024-01-15 08:02:00.0
3,488631,21867,2024-01-15 08:02:00.0
4,1419230,80975,2024-01-15 08:02:00.0
5,12381568,572693,2024-01-15 08:02:00.0
6,46548080,2469100,2024-01-15 08:02:00.0
7,360772045,16881265,2024-01-15 08:02:00.0
8,2271091548,107829146,2024-01-15 08:02:00.0
1,22613,1244,2024-01-14 22:10:00.0
2,52572,3386,2024-01-14 22:10:00.0
3,488631,21719,2024-01-14 22:10:00.0
4,1419230,81489,2024-01-14 22:10:00.0
5,12381568,572494,2024-01-14 22:10:00.0
6,46548080,2472128,2024-01-14 22:10:00.0
7,360772045,16665749,2024-01-14 22:10:00.0
8,2271091548,106441296,2024-01-14 22:10:00.0
1,21836,1190,2024-01-14 16:09:00.0
2,49424,3069,2024-01-14 16:09:00.0
3,463722,20256,2024-01-14 16:09:00.0
4,1293762,72581,2024-01-14 16:09:00.0
5,11569957,524996,2024-01-14 16:09:00.0
6,43473866,2202262,2024-01-14 16:09:00.0
7,333639055,14885284,2024-01-14 16:09:00.0
8,2208647331,100677903,2024-01-14 16:09:00.0
1,21836,1521,2024-01-13 21:01:00.0
2,49424,3062,2024-01-13 21:01:00.0
3,463722,20115,2024-01-13 21:01:00.0
4,1293762,72806,2024-01-13 21:01:00.0
5,11569957,522780,2024-01-13 21:01:00.0
6,43473866,2258280,2024-01-13 21:01:00.0
7,333639056,15263328,2024-01-13 21:01:00.0
8,2208647341,101901390,2024-01-13 21:01:00.0
1,22511,1945,2024-01-17 05:45:29.175134
2,52364,4216,2024-01-17 05:45:29.175134
3,466235,26192,2024-01-17 05:45:29.175134
4,1115725,81299,2024-01-17 05:45:29.175134
5,7632996,446614,2024-01-17 05:45:29.175134
6,19221151,1354925,2024-01-17 05:45:29.175134
7,106345533,6533667,2024-01-17 05:45:29.175134
8,277272640,22412077,2024-01-17 05:45:29.175134
1,22511,1654,2024-01-17 05:47:12.521805
2,52364,4383,2024-01-17 05:47:12.521805
3,466235,28644,2024-01-17 05:47:12.521805
4,1115725,84621,2024-01-17 05:47:12.521805
5,7632996,469072,2024-01-17 05:47:12.521805
6,19221151,1419003,2024-01-17 05:47:12.521805
7,106345533,6854439,2024-01-17 05:47:12.521805
8,277272640,22429107,2024-01-17 05:47:12.521805
1,22511,1804,2024-01-17 05:49:12.344757
2,52364,5039,2024-01-17 05:49:12.344757
3,466235,30900,2024-01-17 05:49:12.344757
4,1115716,93859,2024-01-17 05:49:12.344757
5,7629131,510583,2024-01-17 05:49:12.344757
6,19200325,1623511,2024-01-17 05:49:12.344757
7,106083566,7506215,2024-01-17 05:49:12.344757
8,268009287,23641295,2024-01-17 05:49:12.344757
1,22511,1698,2024-01-17 06:34:29.395079
2,52364,4222,2024-01-17 06:34:29.395079
3,466235,27223,2024-01-17 06:34:29.395079
4,1115725,81707,2024-01-17 06:34:29.395079
5,7632996,455128,2024-01-17 06:34:29.395079
6,19221151,1348423,2024-01-17 06:34:29.395079
7,106345533,6656599,2024-01-17 06:34:29.395079
8,277272640,21687295,2024-01-17 06:34:29.395079
1,22613,13341777,2024-01-17 09:49:11.778482
2,68207,13144779,2024-01-17 09:49:11.778482
3,533862,13463676,2024-01-17 09:49:11.778482
4,1507619,13484578,2024-01-17 09:49:11.778482
5,9034239,13629456,2024-01-17 09:49:11.778482
6,24818917,15720519,2024-01-17 09:49:11.778482
7,123185646,22031780,2024-01-17 09:49:11.778482
8,301025535,37484417,2024-01-17 09:49:11.778482
1,22613,13625124,2024-01-17 09:53:24.511830
2,52572,13249554,2024-01-17 09:53:24.511830
3,487104,13243673,2024-01-17 09:53:24.511830
4,1161560,13216195,2024-01-17 09:53:24.511830
5,8117301,13664132,2024-01-17 09:53:24.511830
6,20901674,15045201,2024-01-17 09:53:24.511830
7,112876124,20916918,2024-01-17 09:53:24.511830
8,290165570,37991264,2024-01-17 09:53:24.511830
1,22613,13098176,2024-01-17 10:00:09.510414
2,52572,12561171,2024-01-17 10:00:09.510414
3,487104,12603769,2024-01-17 10:00:09.510414
4,1161560,12764164,2024-01-17 10:00:09.510414
5,8119277,13371381,2024-01-17 10:00:09.510414
6,20932472,14353751,2024-01-17 10:00:09.510414
7,112619942,20361101,2024-01-17 10:00:09.510414
8,294494215,37274836,2024-01-17 10:00:09.510414
1,22613,11544019,2024-01-18 00:57:06.413468
2,52572,11373931,2024-01-18 00:57:06.413468
3,487104,11126184,2024-01-18 00:57:06.413468
4,1161560,11394043,2024-01-18 00:57:06.413468
5,8119277,11464897,2024-01-18 00:57:06.413468
6,20932472,12409143,2024-01-18 00:57:06.413468
7,112619942,17355387,2024-01-18 00:57:06.413468
8,294494215,31004053,2024-01-18 00:57:06.413468
1,22613,1125242,2024-01-18 01:01:23.552275
2,52572,1106753,2024-01-18 01:01:23.552275
3,487104,1132136,2024-01-18 01:01:23.552275
4,1161560,1206550,2024-01-18 01:01:23.552275
5,8119277,1515702,2024-01-18 01:01:23.552275
6,20934323,2390760,2024-01-18 01:01:23.552275
7,112662610,7010910,2024-01-18 01:01:23.552275
8,297962631,21073286,2024-01-18 01:01:23.552275
1,22613,1147092,2024-01-18 01:04:53.805583
2,52572,1124025,2024-01-18 01:04:53.805583
3,487104,1147092,2024-01-18 01:04:53.805583
4,1161560,1195667,2024-01-18 01:04:53.805583
5,8117301,1533501,2024-01-18 01:04:53.805583
6,20903525,2409506,2024-01-18 01:04:53.805583
7,112927587,7043177,2024-01-18 01:04:53.805583
8,293674989,20587452,2024-01-18 01:04:53.805583
1,22511,1913,2024-01-29 16:27:02.883484
2,45505,4872,2024-01-29 16:27:02.883484
3,457127,29228,2024-01-29 16:27:02.883484
4,1061131,85822,2024-01-29 16:27:02.883484
5,7537475,467567,2024-01-29 16:27:02.883484
6,17527491,1547034,2024-01-29 16:27:02.883484
7,105616529,7925604,2024-01-29 16:27:02.883484
8,245881092,21845086,2024-01-29 16:27:02.883484
